,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Banda ancha fija,Dial up,Mbps (Media de bajada),Total_conexiones
66,2022,1,San Luis,7987,11296,31,71.809,28.721,119659,185,21,119844
67,2022,1,Santa Cruz,10537,23420,10766,3.974,405.0,48898,204,11,49102
68,2022,1,Santa Fe,213486,444609,146552,45.261,20.571,870364,115,39,870479
69,2022,1,Santiago Del Estero,18118,87979,1093,6.349,2.922,116459,2,14,116461
70,2022,1,Tierra Del Fuego,13031,38700,416,124.0,340.0,52298,313,11,52611
71,2022,1,Tucumán,92532,62396,86174,3.995,487.0,245554,30,47,245584
72,2021,4,Buenos Aires,426325,2706506,1176024,126.887,73.415,4502772,6385,60,4509157
73,2021,4,Capital Federal,111360,1205128,60005,5.679,29.947,1409935,2184,83,1412119
74,2021,4,Catamarca,16385,13858,25100,1.512,2.235,59089,1,46,59090
75,2021,4,Chaco,35548,63145,34688,8.005,2.359,143740,5,42,143745
76,2021,4,Chubut,46361,57412,9655,28.041,18.839,159364,944,9,160308
77,2021,4,Córdoba,212011,487489,217214,61.277,8.779,986693,77,46,986770
78,2021,4,Corrientes,42523,71183,10138,6.778,5.29,135908,4,36,135912
79,2021,4,Entre Ríos,70459,133387,23452,25.022,12.726,265024,22,33,265046
80,2021,4,Formosa,17211,15111,5151,16.018,172.0,53663,0,29,53663
81,2021,4,Jujuy,22330,60511,24156,2.927,3.991,113915,0,27,113915
82,2021,4,La Pampa,8175,58000,20192,19.286,1.354,106834,173,14,107007
83,2021,4,La Rioja,10387,56651,9446,6.613,31.0,83124,4,40,83128
84,2021,4,Mendoza,59842,71553,109667,24.666,1.859,266783,804,22,267587
85,2021,4,Misiones,41778,92068,22035,7.649,7.602,171132,0,39,171132
86,2021,4,Neuquén,29175,72761,23253,21.531,746.0,146989,477,40,147466
87,2021,4,Río Negro,42037,44495,32212,16.558,18.451,153189,564,27,153753
88,2021,4,Salta,46972,99808,39555,5.882,7.188,199399,6,34,199405
89,2021,4,San Juan,35868,13102,11072,11.423,8.493,79667,291,11,79958
90,2021,4,San Luis,8472,11064,30,70.56,28.723,118662,187,21,118849
91,2021,4,Santa Cruz,10790,22902,10031,4.346,417.0,48276,210,9,48486
92,2021,4,Santa Fe,233427,444373,128856,43.556,16.229,866265,176,36,866441
93,2021,4,Santiago Del Estero,19032,86563,1088,6.256,2.922,115859,2,14,115861
94,2021,4,Tierra Del Fuego,13317,38148,426,124.0,342.0,52042,315,11,52357
95,2021,4,Tucumán,97830,59022,78790,2.511,486.0,238609,30,45,238639
96,2021,3,Buenos Aires,585729,2595485,885613,120.228,64.554,4246425,5184,56,4251609
97,2021,3,Capital Federal,142902,1192107,42966,6.059,29.371,1411797,1608,78,1413405
98,2021,3,Catamarca,18413,11709,22331,1.568,2.233,56253,1,43,56254
99,2021,3,Chaco,38258,63659,27583,8.018,2.353,139868,3,39,139871
100,2021,3,Chubut,49269,55794,8946,23.376,18.681,155266,800,8,156066
101,2021,3,Córdoba,229275,477223,167495,57.617,15.178,946726,62,42,946788
102,2021,3,Corrientes,44805,69403,7542,6.766,5.303,133816,3,32,133819
103,2021,3,Entre Ríos,74443,128752,20485,23.5,13.195,260360,15,30,260375
104,2021,3,Formosa,18093,14111,4730,15.69,171.0,52795,0,27,52795
