Año,Trimestre,Provincia,Correo oficial  + Correos Privados (en Pesos),Correo oficial + Correos Privados (en Unidades)
2022,1,Rio Negro,262083900.7,946928
2022,1,Salta,238847006.9,2012708
2022,1,San Juan,129564265.6,1188318
2022,1,San Luis,543310753.8,1273471
2022,1,Santa Cruz,136831805.5,323382
2022,1,Santa Fe,1653674902,8574756
2022,1,Santiago del Estero,429103433,2875347
2022,1,Tierra del Fuego,86983071.58,226115
2022,1,Tucumán,399685179.6,3158000
2021,4,Buenos Aires,4476472023,49686553
2021,4,Capital Federal y GBA,14384940130,89092966
2021,4,Catamarca,65733115.52,412358
2021,4,Chaco,246606708.5,1452722
2021,4,Chubut,224758516.2,821208
2021,4,Córdoba,1024916191,8800353
2021,4,Corrientes,292932268.9,1004795
2021,4,Entre Ríos,422928689.9,2620974
2021,4,Formosa,86855543.21,643348
2021,4,Jujuy,188187503.7,1394123
2021,4,La Pampa,149379087.4,1006807
2021,4,La Rioja,60130178.84,239479
2021,4,Mendoza,350699625.6,6715993
2021,4,Misiones,284939124.1,843114
2021,4,Neuquén,398883732.6,1499877
2021,4,Rio Negro,273823640.5,1011888
2021,4,Salta,241103004.6,1777907
2021,4,San Juan,103601769.7,1112173
2021,4,San Luis,783304213.6,1913885
2021,4,Santa Cruz,119401407.9,304623
2021,4,Santa Fe,1394941780,7994438
2021,4,Santiago del Estero,379393074.4,3115918
2021,4,Tierra del Fuego,72221324.4,201487
2021,4,Tucumán,241890955.4,2250601
2021,3,Buenos Aires,3303560012,52184251
2021,3,Capital Federal y GBA,11702242236,94238623
2021,3,Catamarca,60382023.55,362660
2021,3,Chaco,218172026.1,1479494
2021,3,Chubut,273634824.6,977508
2021,3,Córdoba,780283926,4285880
2021,3,Corrientes,285960621.5,1039169
2021,3,Entre Ríos,506654260.1,3414144
2021,3,Formosa,83072148,770876
2021,3,Jujuy,126600377.8,1191190
2021,3,La Pampa,161140779.6,1085778
2021,3,La Rioja,47021784.26,250327
2021,3,Mendoza,309511696.7,9151619
2021,3,Misiones,424242936.8,1233485
2021,3,Neuquén,335420995.3,1887595
2021,3,Rio Negro,232035816.6,931573
2021,3,Salta,172485718.2,1485320
2021,3,San Juan,106892702.7,1270940
2021,3,San Luis,312605980,930919
2021,3,Santa Cruz,108698138,298409
2021,3,Santa Fe,1380272417,7523733
2021,3,Santiago del Estero,356386396,3246078
2021,3,Tierra del Fuego,73375592.72,211213
2021,3,Tucumán,350207440.2,2617651
2021,2,Buenos Aires,2957855557,51652676
2021,2,Capital Federal y GBA,12194321008,94885413
2021,2,Catamarca,37226200.49,345146
2021,2,Chaco,191186129.1,1588159
2021,2,Chubut,167507987.9,845125
2021,2,Córdoba,701011096.4,4624745
2021,2,Corrientes,290875217.4,1326449
2021,2,Entre Ríos,341727133.8,3205494
2021,2,Formosa,59942367.75,641025
2021,2,Jujuy,92874603.5,1171569
2021,2,La Pampa,104061383.7,1079229
2021,2,La Rioja,44735156.37,272969
2021,2,Mendoza,377136211,9181529
2021,2,Misiones,153819905.9,676072
2021,2,Neuquén,232800624.1,1764570
2021,2,Rio Negro,244112293.6,982175
2021,2,Salta,171298309.4,1571900
2021,2,San Juan,66220013.49,1239870
2021,2,San Luis,235469439.3,820935
2021,2,Santa Cruz,79546349.8,287515
2021,2,Santa Fe,1015532355,7458403
2021,2,Santiago del Estero,148716958.6,2994719
2021,2,Tierra del Fuego,37998354.19,157880
2021,2,Tucumán,198961811.4,2443978
2021,1,Buenos Aires,2518504015,50579464
2021,1,Capital Federal y GBA,9931831131,96740434
2021,1,Catamarca,42245508.56,390993
2021,1,Chaco,155649032.5,3657975
2021,1,Chubut,146051018.6,883886
2021,1,Córdoba,613811152.2,4886094
2021,1,Corrientes,152121851.8,902371
2021,1,Entre Ríos,217246024.1,2858418
2021,1,Formosa,71366227.1,769376
2021,1,Jujuy,66075018.13,3538458
2021,1,La Pampa,99302036.91,1139227
2021,1,La Rioja,32685936.57,262951
2021,1,Mendoza,295850510.9,9396469
2021,1,Misiones,177902461.8,811214
2021,1,Neuquén,167900570.3,1702917
2021,1,Rio Negro,181885256.4,1010267
2021,1,Salta,184807272.5,1689482
2021,1,San Juan,64183139.33,1196348
2021,1,San Luis,104456853.7,473901
2021,1,Santa Cruz,72097534.39,305524
2021,1,Santa Fe,892266986.7,7941562
2021,1,Santiago del Estero,100413912.8,2337004
2021,1,Tierra del Fuego,29809589.68,145825
2021,1,Tucumán,184749416.7,3109106
2020,4,Buenos Aires,2424810125,45548433
2020,4,Capital Federal y GBA,10278871150,95030713
2020,4,Catamarca,49244661.05,405331
2020,4,Chaco,162565045.3,3464150
2020,4,Chubut,135252595.6,856791
2020,4,Córdoba,635559127.7,4729264
2020,4,Corrientes,144831649.5,894067
2020,4,Entre Ríos,209876755.6,3001526
2020,4,Formosa,75129478.35,956137
2020,4,Jujuy,69691819.69,3440746
2020,4,La Pampa,94502546.72,1073350
2020,4,La Rioja,42424217.78,312213
2020,4,Mendoza,327332999.5,8178316
2020,4,Misiones,166075250,817659
2020,4,Neuquén,155190738.5,1657713
2020,4,Rio Negro,171118190.8,973596
2020,4,Salta,196120287,1710592
2020,4,San Juan,66251136.25,1225741
2020,4,San Luis,111221307.2,518894
2020,4,Santa Cruz,78872569.16,366962
2020,4,Santa Fe,870331008.7,7271012
2020,4,Santiago del Estero,120162112.6,2759402
2020,4,Tierra del Fuego,30318009.33,179963
2020,4,Tucumán,191542219,3319214
2020,3,Buenos Aires,2855936270,47694528
2020,3,Capital Federal y GBA,9473108998,98340107
2020,3,Catamarca,60752487.23,586665
2020,3,Chaco,182053622.6,1783909
2020,3,Chubut,135666064.3,813334
2020,3,Córdoba,876134661.6,13470271
2020,3,Corrientes,136228165.5,866233
2020,3,Entre Ríos,224268362.2,3011251
2020,3,Formosa,43072596.27,1980278
2020,3,Jujuy,75978234.43,1497996
2020,3,La Pampa,80920876.3,1049860
2020,3,La Rioja,49491619.66,437914
2020,3,Mendoza,368947327.5,6066487
2020,3,Misiones,146477116.4,771163
2020,3,Neuquén,169091959.7,1499799
2020,3,Rio Negro,200408086.6,1043102
2020,3,Salta,184802719.1,1776786
2020,3,San Juan,75026194.34,1349053
2020,3,San Luis,93673628.91,503283
2020,3,Santa Cruz,67914702.86,336928
2020,3,Santa Fe,967929655.8,7439545
2020,3,Santiago del Estero,135936071.8,3235198
2020,3,Tierra del Fuego,29590666.45,139549
2020,3,Tucumán,225943764.4,3569827
2020,2,Buenos Aires,2108906301,50655716
2020,2,Capital Federal y GBA,7484276008,108377849
2020,2,Catamarca,30404841.57,429758
2020,2,Chaco,117231717,3234728
2020,2,Chubut,75546184.81,597766
2020,2,Córdoba,540452801.4,7062384
2020,2,Corrientes,71055621.41,533732
